Question,Option A,Option B,Option C,Option D,Correct Answer
"What PromQL expression calculates the rate of HTTP requests over the last 1 minute?","rate(http_requests_total[1m])","increase(http_requests_total[1m])","sum(http_requests_total[1m])","avg(http_requests_total[1m])","1"
"How do you filter metrics by the label 'job' with the value 'api-server'?","http_requests_total{job=""api-server""}","http_requests_total[job=""api-server""]","http_requests_total(job=""api-server"")","http_requests_total@job=""api-server""","1"
"Which operator is used for summing values in PromQL?","+","*","-","/","1"
"What function would you use to calculate the maximum value over a range vector?","max_over_time","avg_over_time","sum_over_time","min_over_time","1"
"What is the correct way to apply a simple rate function in PromQL?","rate(metric_name)","rate(metric_name[5m])","rate(metric_name) by (instance)","rate[5m](metric_name)","2"
"Which PromQL expression filters metrics to those where the label 'status' is not equal to '200'?","http_requests_total{status!=""200""}","http_requests_total{status<>200}","http_requests_total(status!=""200"")","http_requests_total{status!200}","1"
"How do you select the last value of a time series in PromQL?","last_over_time(metric_name[5m])","max(metric_name)","metric_name","metric_name[5m]","3"
"What does the 'sum' function do in PromQL?","Calculates the sum of all values","Calculates the average of all values","Finds the maximum value","Finds the minimum value","1"
"How do you calculate the average CPU usage per instance over the last 5 minutes?","avg(rate(node_cpu_seconds_total[5m])) by (instance)","sum(rate(node_cpu_seconds_total[5m])) by (instance)","max(rate(node_cpu_seconds_total[5m])) by (instance)","min(rate(node_cpu_seconds_total[5m])) by (instance)","1"
"Which PromQL expression calculates the increase in HTTP requests over the last 1 hour?","increase(http_requests_total[1h])","rate(http_requests_total[1h])","sum(http_requests_total[1h])","delta(http_requests_total[1h])","1"
"How do you combine two metrics using the sum operator?","metric1 + metric2","sum(metric1, metric2)","combine(metric1, metric2)","add(metric1, metric2)","1"
"Which function would you use to get the 95th percentile of response times?","histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]))","quantile(0.95, rate(http_request_duration_seconds_bucket[5m]))","percentile(0.95, rate(http_request_duration_seconds_bucket[5m]))","topk(0.95, rate(http_request_duration_seconds_bucket[5m]))","1"
